entropy dim 1,entropy dim 2,entropy dim 3,entropy dim 4,entropy dim 5,entropy dim 6,entropy dim 7,entropy dim 8,entropy dim 9,entropy dim 10,entropy dim 11,entropy dim 12,entropy dim 13,entropy dim 14,entropy dim 15,entropy dim 16,entropy dim 17,entropy dim 18,entropy dim 19,entropy dim 20,entropy dim 21,entropy dim 22,entropy dim 23,entropy dim 24,entropy dim 25,entropy dim 26,entropy dim 27,entropy dim 28,mu dim 1,mu dim 2,mu dim 3,mu dim 4,mu dim 5,mu dim 6,mu dim 7,mu dim 8,mu dim 9,mu dim 10,mu dim 11,mu dim 12,mu dim 13,mu dim 14,mu dim 15,mu dim 16,mu dim 17,mu dim 18,mu dim 19,mu dim 20,mu dim 21,mu dim 22,mu dim 23,mu dim 24,mu dim 25,mu dim 26,mu dim 27,mu dim 28,logvar of mu dim 1,logvar of mu dim 2,logvar of mu dim 3,logvar of mu dim 4,logvar of mu dim 5,logvar of mu dim 6,logvar of mu dim 7,logvar of mu dim 8,logvar of mu dim 9,logvar of mu dim 10,logvar of mu dim 11,logvar of mu dim 12,logvar of mu dim 13,logvar of mu dim 14,logvar of mu dim 15,logvar of mu dim 16,logvar of mu dim 17,logvar of mu dim 18,logvar of mu dim 19,logvar of mu dim 20,logvar of mu dim 21,logvar of mu dim 22,logvar of mu dim 23,logvar of mu dim 24,logvar of mu dim 25,logvar of mu dim 26,logvar of mu dim 27,logvar of mu dim 28,logvar dim 1,logvar dim 2,logvar dim 3,logvar dim 4,logvar dim 5,logvar dim 6,logvar dim 7,logvar dim 8,logvar dim 9,logvar dim 10,logvar dim 11,logvar dim 12,logvar dim 13,logvar dim 14,logvar dim 15,logvar dim 16,logvar dim 17,logvar dim 18,logvar dim 19,logvar dim 20,logvar dim 21,logvar dim 22,logvar dim 23,logvar dim 24,logvar dim 25,logvar dim 26,logvar dim 27,logvar dim 28,perf recon rate,recon rate,perf prefix len,validity,stability,token loss,length
5.303,5.315,5.499,5.506,5.406,5.387,5.505,5.057,5.478,5.487,5.413,5.472,5.489,5.56,5.508,4.917,5.485,5.427,5.412,5.468,5.462,5.469,5.426,5.502,5.495,5.561,5.443,5.465,-0.063,-0.129,-0.25,0.108,0.062,0.027,0.205,-0.033,0.128,0.044,0.124,-0.028,0.039,0.056,-0.171,-0.035,-0.189,0.003,-0.048,0.156,-0.122,0.117,-0.039,-0.167,0.014,-0.005,-0.128,0.036,-0.401,-0.545,0.067,-0.024,-0.147,-0.235,0.103,-1.107,-0.012,0.057,-0.293,-0.1,-0.096,0.06,0.018,-1.067,-0.092,-0.129,-0.221,-0.068,-0.284,-0.021,-0.116,-0.019,0.076,0.289,-0.177,-0.097,-1.386,-1.178,-4.431,-4.494,-2.273,-2.479,-4.682,-0.734,-3.571,-3.928,-1.704,-3.5,-2.494,-4.22,-4.487,-0.735,-4.155,-4.016,-2.916,-4.441,-2.038,-4.112,-4.085,-4.2,-3.588,-4.622,-1.909,-2.485,0.95,0.028,19.68,1.0,0.28,50.149,34.97
5.175,5.282,5.473,5.523,5.427,5.36,5.515,4.969,5.455,5.481,5.371,5.444,5.43,5.472,5.514,4.947,5.453,5.408,5.388,5.524,5.417,5.462,5.431,5.481,5.516,5.567,5.466,5.473,-0.117,0.029,-0.295,0.049,-0.013,0.008,0.207,-0.138,0.107,0.086,0.002,-0.014,0.14,0.001,-0.151,0.015,-0.19,0.084,0.025,0.142,-0.103,0.155,-0.038,-0.181,0.032,0.025,-0.013,-0.111,-0.536,-0.566,0.074,-0.007,-0.149,-0.273,0.09,-1.204,-0.055,0.057,-0.35,-0.089,-0.116,0.055,0.059,-1.052,-0.082,-0.148,-0.248,-0.069,-0.235,-0.042,-0.104,-0.003,0.111,0.316,-0.152,-0.113,-1.174,-1.111,-4.425,-4.576,-2.303,-2.359,-4.68,-0.582,-3.718,-4.098,-1.718,-3.66,-2.248,-4.34,-4.534,-0.731,-4.158,-3.932,-2.928,-4.384,-2.172,-3.936,-4.139,-4.345,-3.709,-4.767,-1.891,-2.658,0.94,0.037,22.1,1.0,0.33,57.675,34.76
5.197,5.247,5.459,5.467,5.432,5.327,5.523,4.944,5.452,5.454,5.31,5.46,5.375,5.49,5.542,4.841,5.459,5.442,5.408,5.494,5.439,5.417,5.454,5.465,5.505,5.572,5.45,5.456,-0.136,-0.043,-0.207,0.108,-0.028,0.094,0.189,-0.057,0.056,0.033,-0.017,0.015,0.075,0.035,-0.152,0.029,-0.182,0.024,-0.017,0.107,-0.084,0.177,0.01,-0.131,0.04,0.031,-0.188,-0.135,-0.63,-0.605,0.042,-0.001,-0.165,-0.326,0.09,-1.288,-0.089,0.02,-0.46,-0.107,-0.172,0.072,0.052,-1.235,-0.103,-0.127,-0.245,-0.065,-0.211,0.011,-0.132,-0.007,0.095,0.271,-0.16,-0.122,-1.149,-1.079,-4.366,-4.558,-2.184,-2.261,-4.604,-0.48,-3.506,-3.966,-1.368,-3.567,-2.234,-4.23,-4.578,-0.604,-4.097,-3.875,-2.837,-4.361,-2.228,-4.015,-3.951,-4.205,-3.791,-4.638,-1.674,-2.479,0.948,0.033,22.692,1.0,0.36,60.678,34.75
5.117,5.249,5.478,5.421,5.45,5.361,5.498,4.954,5.459,5.492,5.306,5.416,5.364,5.527,5.575,4.832,5.49,5.46,5.408,5.463,5.41,5.487,5.46,5.498,5.474,5.543,5.392,5.488,-0.021,-0.181,-0.217,0.098,-0.049,0.09,0.235,0.046,0.061,0.076,0.056,-0.064,0.107,0.038,-0.148,0.039,-0.16,0.016,0.063,0.064,-0.09,0.073,0.044,-0.172,0.076,0.025,-0.113,-0.139,-0.644,-0.637,0.032,0.033,-0.098,-0.306,0.095,-1.372,-0.092,0.029,-0.421,-0.086,-0.156,0.107,0.106,-1.296,-0.107,-0.139,-0.21,-0.073,-0.219,0.001,-0.13,0.033,0.095,0.323,-0.201,-0.125,-1.096,-1.117,-4.327,-4.469,-2.053,-2.104,-4.616,-0.463,-3.533,-3.876,-1.406,-3.654,-1.901,-4.166,-4.566,-0.627,-4.053,-3.917,-2.887,-4.249,-2.231,-3.884,-3.993,-4.345,-3.792,-4.73,-1.683,-2.494,0.946,0.032,21.37,1.0,0.34,58.771,35.14
5.132,5.275,5.478,5.501,5.39,5.316,5.492,4.88,5.461,5.489,5.282,5.432,5.35,5.516,5.531,4.803,5.475,5.43,5.417,5.44,5.442,5.471,5.437,5.516,5.548,5.56,5.374,5.4,-0.087,-0.174,-0.208,0.056,0.026,0.159,0.26,-0.039,0.045,0.074,0.017,-0.062,0.186,0.055,-0.099,0.003,-0.214,-0.017,0.075,0.091,-0.16,0.156,0.044,-0.131,-0.058,0.046,-0.272,-0.07,-0.658,-0.56,0.029,0.028,-0.105,-0.348,0.095,-1.4,-0.082,-0.005,-0.482,-0.104,-0.201,0.106,0.103,-1.396,-0.121,-0.133,-0.209,-0.097,-0.231,0.015,-0.128,0.008,0.108,0.303,-0.252,-0.157,-0.964,-1.096,-4.389,-4.745,-2.136,-2.149,-4.781,-0.347,-3.531,-3.937,-1.445,-3.504,-1.944,-4.412,-4.71,-0.475,-4.096,-3.844,-2.981,-4.413,-2.224,-3.834,-3.987,-4.374,-3.767,-4.726,-1.625,-2.393,0.96,0.026,24.1,1.0,0.35,62.333,35.22
5.079,5.181,5.469,5.55,5.446,5.301,5.531,4.87,5.458,5.498,5.282,5.478,5.338,5.518,5.549,4.77,5.443,5.481,5.39,5.449,5.419,5.509,5.447,5.483,5.522,5.581,5.363,5.455,-0.05,-0.007,-0.24,0.092,-0.039,0.137,0.271,0.012,0.104,0.111,0.11,-0.017,0.136,0.026,-0.135,0.09,-0.133,0.08,0.047,0.124,0.005,0.107,0.021,-0.14,0.075,0.037,-0.035,-0.041,-0.776,-0.724,0.004,0.041,-0.118,-0.372,0.1,-1.509,-0.11,-0.009,-0.57,-0.09,-0.235,0.112,0.127,-1.435,-0.131,-0.142,-0.221,-0.077,-0.209,-0.012,-0.143,0.02,0.097,0.304,-0.225,-0.156,-0.86,-0.977,-4.242,-4.566,-1.867,-2.019,-4.855,-0.362,-3.379,-3.709,-1.217,-3.431,-1.931,-4.127,-4.633,-0.466,-3.954,-3.748,-2.779,-4.297,-2.126,-3.805,-3.883,-4.214,-3.687,-4.59,-1.35,-2.397,0.944,0.032,20.357,1.0,0.45,78.372,34.88
5.075,5.196,5.49,5.526,5.437,5.344,5.528,4.832,5.452,5.46,5.227,5.456,5.354,5.546,5.549,4.739,5.425,5.442,5.429,5.479,5.381,5.424,5.415,5.487,5.48,5.609,5.35,5.439,0.0,-0.023,-0.287,0.1,0.012,0.058,0.261,-0.05,0.138,0.133,0.078,-0.011,0.072,0.041,-0.113,-0.103,-0.139,0.132,0.013,0.077,-0.135,0.097,0.066,-0.115,0.081,0.058,-0.045,0.003,-0.789,-0.595,0.024,0.069,-0.125,-0.324,0.136,-1.492,-0.088,0.02,-0.556,-0.098,-0.221,0.137,0.162,-1.549,-0.13,-0.109,-0.213,-0.104,-0.231,-0.037,-0.138,0.034,0.105,0.316,-0.28,-0.145,-0.934,-1.026,-4.219,-4.5,-1.789,-2.191,-4.71,-0.377,-3.463,-3.893,-1.232,-3.321,-1.877,-4.237,-4.737,-0.472,-3.948,-3.769,-2.831,-4.344,-2.126,-4.016,-3.859,-4.116,-3.763,-4.643,-1.288,-2.45,0.948,0.033,23.385,1.0,0.52,88.92,35.46
5.039,5.247,5.477,5.511,5.388,5.356,5.495,4.798,5.435,5.517,5.206,5.466,5.305,5.52,5.567,4.721,5.475,5.481,5.435,5.512,5.432,5.451,5.471,5.477,5.534,5.588,5.367,5.401,-0.113,-0.027,-0.186,0.1,0.029,0.07,0.294,-0.034,0.057,0.063,0.001,-0.017,0.16,0.038,-0.138,0.091,-0.176,0.06,-0.039,0.043,-0.161,0.099,0.058,-0.118,0.03,0.082,-0.119,-0.112,-0.834,-0.696,0.003,0.047,-0.157,-0.386,0.093,-1.557,-0.134,0.01,-0.619,-0.088,-0.225,0.124,0.13,-1.626,-0.134,-0.123,-0.227,-0.093,-0.219,-0.065,-0.145,0.02,0.105,0.278,-0.266,-0.133,-0.752,-0.975,-4.229,-4.643,-1.868,-1.996,-4.735,-0.348,-3.372,-3.907,-1.19,-3.368,-1.826,-4.111,-4.732,-0.352,-3.8,-3.838,-2.642,-4.276,-1.962,-3.933,-3.926,-4.226,-3.721,-4.784,-1.369,-2.398,0.944,0.033,21.607,1.0,0.34,55.879,34.35
5.044,5.19,5.456,5.509,5.395,5.297,5.497,4.683,5.493,5.481,5.198,5.417,5.32,5.491,5.57,4.692,5.438,5.484,5.409,5.473,5.413,5.497,5.43,5.502,5.494,5.587,5.337,5.397,-0.138,-0.176,-0.272,0.076,-0.016,0.084,0.308,-0.027,0.072,0.1,0.058,0.007,0.142,0.044,-0.109,-0.032,-0.146,0.098,-0.019,0.009,-0.244,0.123,0.01,-0.144,0.06,0.086,-0.13,-0.105,-0.826,-0.706,0.008,0.026,-0.148,-0.358,0.103,-1.724,-0.116,-0.004,-0.639,-0.117,-0.285,0.132,0.145,-1.678,-0.149,-0.104,-0.236,-0.049,-0.273,-0.068,-0.154,0.003,0.088,0.312,-0.361,-0.155,-0.845,-0.802,-4.298,-4.593,-1.801,-2.06,-4.746,-0.332,-3.426,-3.91,-1.177,-3.428,-1.763,-4.225,-4.815,-0.402,-3.824,-3.719,-2.709,-4.204,-2.025,-4.015,-3.835,-4.211,-3.748,-4.67,-1.213,-2.388,0.946,0.031,20.63,1.0,0.46,76.201,34.68
5.011,5.221,5.41,5.518,5.382,5.262,5.511,4.704,5.449,5.481,5.174,5.44,5.297,5.557,5.514,4.664,5.482,5.434,5.422,5.457,5.395,5.431,5.449,5.494,5.504,5.552,5.302,5.364,-0.115,0.085,-0.223,0.098,0.022,0.135,0.317,-0.11,0.045,0.085,0.141,-0.055,0.213,0.035,-0.075,0.002,-0.131,-0.02,-0.008,0.027,-0.136,0.107,0.015,-0.105,-0.004,0.099,-0.104,-0.016,-0.792,-0.638,-0.005,0.061,-0.182,-0.381,0.11,-1.651,-0.095,-0.014,-0.637,-0.13,-0.229,0.168,0.161,-1.65,-0.151,-0.117,-0.18,-0.085,-0.244,-0.088,-0.138,0.026,0.076,0.284,-0.358,-0.208,-0.84,-0.897,-4.226,-4.66,-1.78,-2.084,-4.824,-0.459,-3.253,-3.801,-1.068,-3.286,-1.754,-4.192,-4.712,-0.369,-3.803,-3.705,-2.652,-4.236,-2.192,-4.047,-3.712,-4.083,-3.781,-4.802,-1.235,-2.351,0.96,0.025,23.4,1.0,0.47,80.919,34.45
