entropy dim 1,entropy dim 2,entropy dim 3,entropy dim 4,entropy dim 5,entropy dim 6,entropy dim 7,entropy dim 8,entropy dim 9,entropy dim 10,entropy dim 11,entropy dim 12,entropy dim 13,entropy dim 14,entropy dim 15,entropy dim 16,entropy dim 17,entropy dim 18,entropy dim 19,entropy dim 20,entropy dim 21,entropy dim 22,entropy dim 23,entropy dim 24,entropy dim 25,entropy dim 26,entropy dim 27,entropy dim 28,mu dim 1,mu dim 2,mu dim 3,mu dim 4,mu dim 5,mu dim 6,mu dim 7,mu dim 8,mu dim 9,mu dim 10,mu dim 11,mu dim 12,mu dim 13,mu dim 14,mu dim 15,mu dim 16,mu dim 17,mu dim 18,mu dim 19,mu dim 20,mu dim 21,mu dim 22,mu dim 23,mu dim 24,mu dim 25,mu dim 26,mu dim 27,mu dim 28,logvar of mu dim 1,logvar of mu dim 2,logvar of mu dim 3,logvar of mu dim 4,logvar of mu dim 5,logvar of mu dim 6,logvar of mu dim 7,logvar of mu dim 8,logvar of mu dim 9,logvar of mu dim 10,logvar of mu dim 11,logvar of mu dim 12,logvar of mu dim 13,logvar of mu dim 14,logvar of mu dim 15,logvar of mu dim 16,logvar of mu dim 17,logvar of mu dim 18,logvar of mu dim 19,logvar of mu dim 20,logvar of mu dim 21,logvar of mu dim 22,logvar of mu dim 23,logvar of mu dim 24,logvar of mu dim 25,logvar of mu dim 26,logvar of mu dim 27,logvar of mu dim 28,logvar dim 1,logvar dim 2,logvar dim 3,logvar dim 4,logvar dim 5,logvar dim 6,logvar dim 7,logvar dim 8,logvar dim 9,logvar dim 10,logvar dim 11,logvar dim 12,logvar dim 13,logvar dim 14,logvar dim 15,logvar dim 16,logvar dim 17,logvar dim 18,logvar dim 19,logvar dim 20,logvar dim 21,logvar dim 22,logvar dim 23,logvar dim 24,logvar dim 25,logvar dim 26,logvar dim 27,logvar dim 28,perf recon rate,recon rate,perf prefix len,validity,stability,token loss,length
5.464,5.409,5.498,5.297,5.364,5.486,5.433,5.445,5.449,5.431,5.475,5.508,5.53,5.504,5.195,5.29,5.479,5.475,5.456,4.956,5.394,5.439,5.243,5.451,5.505,5.435,5.484,5.466,0.006,0.038,-0.31,-0.037,0.001,-0.106,-0.18,-0.183,0.238,0.034,0.256,0.012,0.166,-0.242,0.087,-0.044,0.111,0.103,-0.056,0.087,-0.081,-0.056,0.049,0.086,0.057,-0.034,0.197,0.147,-0.083,-0.183,-0.031,-0.505,-0.362,-0.139,-0.162,-0.143,-0.061,-0.167,-0.026,0.024,0.097,0.035,-0.448,-0.304,-0.033,-0.117,-0.143,-1.195,-0.224,-0.23,-0.726,-0.15,-0.04,-0.164,-0.05,-0.1,-3.398,-2.252,-4.707,-1.238,-2.638,-4.037,-3.129,-4.18,-4.55,-2.929,-3.727,-4.078,-3.933,-4.385,-0.869,-1.717,-3.566,-4.425,-2.303,-0.53,-2.874,-2.165,-0.896,-4.288,-3.642,-3.518,-3.678,-3.876,0.932,0.968,19.294,1.0,0.39,4.091,33.84
5.453,5.385,5.452,5.303,5.315,5.463,5.389,5.447,5.495,5.414,5.46,5.519,5.503,5.501,5.189,5.246,5.417,5.443,5.388,4.925,5.348,5.434,5.192,5.5,5.483,5.437,5.428,5.437,-0.133,-0.013,-0.328,-0.123,-0.025,-0.051,-0.109,-0.052,0.252,-0.054,0.211,-0.061,0.124,-0.181,-0.013,0.067,0.058,0.09,-0.046,-0.104,-0.053,-0.208,0.032,0.129,0.032,-0.028,0.165,0.073,-0.118,-0.221,-0.067,-0.532,-0.439,-0.147,-0.235,-0.17,-0.096,-0.198,-0.061,-0.01,0.077,0.02,-0.479,-0.397,-0.133,-0.169,-0.233,-1.299,-0.269,-0.275,-0.81,-0.19,-0.095,-0.179,-0.082,-0.105,-3.487,-2.16,-4.702,-1.031,-2.636,-3.967,-2.745,-4.066,-4.615,-2.904,-3.529,-4.193,-3.881,-4.232,-1.017,-1.663,-3.361,-4.323,-2.01,-0.574,-2.778,-1.914,-0.823,-4.234,-3.362,-3.268,-3.801,-3.551,0.926,0.968,19.541,1.0,0.412,4.067,33.859
5.438,5.432,5.476,5.264,5.368,5.426,5.397,5.452,5.471,5.418,5.478,5.483,5.542,5.503,5.16,5.22,5.462,5.478,5.373,4.933,5.412,5.429,5.195,5.482,5.451,5.391,5.424,5.428,-0.114,-0.087,-0.367,-0.278,-0.001,-0.051,-0.081,-0.111,0.272,-0.075,0.182,-0.053,0.167,-0.17,0.057,-0.083,0.157,0.058,-0.104,-0.011,0.009,-0.136,-0.003,0.107,-0.054,-0.037,0.092,0.074,-0.051,-0.211,-0.035,-0.51,-0.366,-0.123,-0.197,-0.164,-0.048,-0.168,-0.023,0.046,0.096,0.037,-0.552,-0.435,-0.171,-0.134,-0.204,-1.31,-0.22,-0.254,-0.788,-0.148,-0.09,-0.156,-0.048,-0.1,-3.517,-2.182,-4.799,-1.152,-2.554,-4.052,-2.777,-4.153,-4.639,-2.754,-3.722,-4.235,-3.774,-4.291,-0.887,-1.459,-3.35,-4.541,-2.024,-0.484,-2.687,-1.816,-0.822,-4.283,-3.531,-3.462,-3.667,-3.753,0.942,0.973,18.552,1.0,0.413,4.119,33.843
5.464,5.377,5.472,5.209,5.359,5.453,5.44,5.439,5.538,5.466,5.471,5.477,5.501,5.51,5.081,5.23,5.436,5.439,5.363,4.88,5.456,5.379,5.137,5.444,5.49,5.416,5.448,5.457,-0.171,-0.017,-0.314,-0.172,0.039,-0.048,0.062,-0.126,0.284,0.049,0.235,-0.045,0.175,-0.158,-0.057,-0.057,0.071,0.071,-0.073,-0.057,0.037,-0.1,-0.189,0.085,-0.005,0.034,0.115,0.042,-0.061,-0.251,-0.026,-0.561,-0.43,-0.144,-0.202,-0.138,-0.056,-0.155,-0.006,0.038,0.122,0.029,-0.596,-0.438,-0.122,-0.145,-0.228,-1.436,-0.189,-0.264,-0.884,-0.17,-0.106,-0.129,-0.03,-0.085,-3.402,-1.905,-4.723,-1.117,-2.483,-4.052,-2.721,-4.256,-4.698,-2.678,-3.875,-4.255,-3.945,-4.324,-0.885,-1.462,-3.352,-4.562,-1.835,-0.353,-2.628,-1.59,-0.798,-4.301,-3.645,-3.505,-3.777,-3.731,0.926,0.964,18.459,1.0,0.432,3.704,33.899
5.45,5.423,5.495,5.251,5.308,5.407,5.409,5.413,5.465,5.426,5.504,5.507,5.51,5.502,5.065,5.184,5.459,5.423,5.359,4.868,5.404,5.354,5.11,5.455,5.485,5.413,5.508,5.458,-0.148,-0.104,-0.353,-0.086,-0.003,-0.08,-0.096,-0.04,0.312,-0.036,0.236,-0.021,0.204,-0.171,-0.1,0.038,0.051,0.09,-0.036,0.017,-0.01,-0.103,-0.083,0.061,0.038,0.031,0.101,0.073,-0.081,-0.294,-0.023,-0.509,-0.433,-0.142,-0.256,-0.163,-0.067,-0.153,0.0,0.031,0.161,0.017,-0.713,-0.483,-0.13,-0.168,-0.24,-1.441,-0.213,-0.306,-0.872,-0.191,-0.099,-0.156,-0.049,-0.108,-3.26,-1.99,-4.741,-1.035,-2.445,-4.136,-2.601,-4.215,-4.855,-2.679,-3.765,-4.25,-3.993,-4.425,-0.669,-1.437,-3.339,-4.608,-1.821,-0.425,-2.602,-1.48,-0.697,-4.399,-3.624,-3.44,-3.975,-3.736,0.94,0.973,19.2,1.0,0.439,3.717,33.892
5.433,5.39,5.512,5.193,5.333,5.423,5.428,5.436,5.501,5.372,5.475,5.496,5.515,5.48,4.94,5.218,5.447,5.441,5.357,4.844,5.42,5.336,5.137,5.457,5.459,5.369,5.47,5.482,-0.165,0.008,-0.303,-0.021,-0.019,-0.09,-0.009,-0.044,0.317,-0.041,0.218,-0.054,0.134,-0.102,-0.136,0.07,0.114,0.092,-0.021,-0.077,0.025,-0.054,0.004,0.078,-0.04,0.056,0.118,0.028,-0.041,-0.292,-0.014,-0.546,-0.421,-0.136,-0.212,-0.117,-0.035,-0.158,-0.039,0.037,0.109,0.03,-0.761,-0.495,-0.127,-0.151,-0.218,-1.49,-0.173,-0.299,-0.837,-0.165,-0.16,-0.169,-0.025,-0.104,-3.23,-1.739,-4.722,-0.868,-2.491,-4.046,-2.55,-4.271,-4.742,-2.492,-3.816,-4.309,-3.811,-4.293,-0.465,-1.367,-3.283,-4.393,-1.765,-0.368,-2.515,-1.407,-0.765,-4.247,-3.779,-3.385,-3.852,-3.541,0.942,0.97,17.414,1.0,0.421,3.829,33.862
5.416,5.352,5.438,5.228,5.327,5.502,5.373,5.497,5.447,5.471,5.47,5.464,5.49,5.44,5.003,5.225,5.397,5.428,5.378,4.775,5.428,5.338,5.099,5.433,5.455,5.446,5.485,5.436,-0.195,-0.111,-0.326,-0.041,-0.099,-0.056,-0.002,-0.045,0.286,-0.064,0.207,-0.056,0.153,-0.105,0.103,0.126,0.058,0.078,-0.171,-0.006,0.017,-0.086,-0.081,0.114,-0.07,0.072,0.08,0.064,-0.06,-0.355,-0.023,-0.583,-0.425,-0.123,-0.21,-0.132,-0.021,-0.163,-0.003,0.057,0.114,0.001,-0.791,-0.538,-0.172,-0.142,-0.26,-1.613,-0.188,-0.327,-0.922,-0.159,-0.16,-0.153,-0.033,-0.106,-3.347,-1.885,-4.745,-0.925,-2.391,-4.136,-2.536,-4.28,-4.837,-2.566,-3.834,-4.343,-3.802,-4.421,-0.691,-1.413,-3.148,-4.496,-1.678,-0.4,-2.461,-1.467,-0.803,-4.253,-3.737,-3.483,-3.672,-3.706,0.944,0.976,19.571,1.0,0.442,3.837,33.867
5.46,5.35,5.477,5.208,5.34,5.482,5.44,5.423,5.499,5.428,5.467,5.517,5.511,5.536,4.955,5.201,5.391,5.427,5.349,4.788,5.395,5.382,5.132,5.447,5.482,5.411,5.497,5.408,-0.089,-0.123,-0.359,-0.144,-0.056,-0.073,0.025,-0.03,0.329,0.006,0.185,-0.045,0.145,-0.098,0.053,0.055,0.102,0.092,-0.065,0.103,0.035,-0.222,0.072,0.044,-0.028,0.067,0.151,0.121,-0.039,-0.363,-0.007,-0.633,-0.436,-0.139,-0.225,-0.137,-0.012,-0.159,0.024,0.061,0.128,0.001,-0.874,-0.57,-0.175,-0.158,-0.282,-1.605,-0.203,-0.367,-0.919,-0.162,-0.173,-0.146,-0.015,-0.094,-3.325,-1.77,-4.839,-0.865,-2.238,-3.817,-2.357,-4.246,-4.799,-2.576,-3.727,-4.259,-3.676,-4.344,-0.631,-1.331,-3.105,-4.323,-1.583,-0.315,-2.411,-1.341,-0.629,-4.213,-3.797,-3.368,-3.591,-3.652,0.94,0.971,18.133,1.0,0.47,3.377,33.78
5.41,5.36,5.478,5.188,5.289,5.45,5.426,5.433,5.522,5.466,5.449,5.515,5.496,5.505,4.877,5.21,5.425,5.46,5.367,4.782,5.403,5.332,5.096,5.399,5.452,5.418,5.519,5.458,-0.175,-0.129,-0.317,-0.069,-0.001,-0.02,0.028,-0.013,0.372,0.011,0.288,-0.062,0.229,-0.079,0.013,0.024,0.083,0.077,-0.139,0.02,-0.019,-0.134,-0.012,0.086,-0.056,0.011,0.1,0.055,-0.063,-0.357,-0.03,-0.606,-0.441,-0.142,-0.198,-0.136,-0.024,-0.159,0.034,0.06,0.118,-0.001,-1.001,-0.576,-0.153,-0.174,-0.29,-1.567,-0.201,-0.37,-0.905,-0.165,-0.155,-0.141,-0.007,-0.111,-3.277,-1.765,-4.76,-0.856,-2.233,-4.073,-2.46,-4.282,-5.007,-2.555,-3.678,-4.325,-3.704,-4.498,-0.616,-1.282,-3.098,-4.432,-1.561,-0.381,-2.448,-1.155,-0.732,-4.222,-3.676,-3.504,-3.616,-3.785,0.95,0.978,19.32,1.0,0.467,3.491,33.796
5.485,5.368,5.504,5.189,5.262,5.44,5.442,5.482,5.472,5.418,5.495,5.498,5.504,5.527,4.879,5.159,5.383,5.455,5.314,4.777,5.373,5.309,5.066,5.449,5.444,5.443,5.444,5.425,-0.093,-0.05,-0.282,-0.072,-0.029,-0.066,0.047,-0.016,0.333,0.063,0.195,-0.044,0.182,-0.136,0.108,0.087,0.058,0.058,-0.004,-0.116,0.006,0.035,0.052,0.04,0.002,-0.021,0.107,0.067,0.012,-0.327,-0.025,-0.627,-0.438,-0.122,-0.208,-0.097,0.008,-0.163,0.013,0.061,0.101,-0.005,-1.054,-0.621,-0.163,-0.158,-0.282,-1.653,-0.191,-0.399,-0.982,-0.161,-0.157,-0.128,0.007,-0.089,-3.414,-1.786,-4.815,-0.804,-2.187,-3.99,-2.337,-4.261,-4.846,-2.715,-3.693,-4.283,-3.62,-4.468,-0.533,-1.253,-3.063,-4.367,-1.617,-0.342,-2.3,-1.199,-0.75,-4.162,-3.79,-3.491,-3.622,-3.681,0.948,0.974,17.615,1.0,0.468,3.445,33.809
