entropy dim 1,entropy dim 2,entropy dim 3,entropy dim 4,entropy dim 5,entropy dim 6,entropy dim 7,entropy dim 8,entropy dim 9,entropy dim 10,entropy dim 11,entropy dim 12,entropy dim 13,entropy dim 14,entropy dim 15,entropy dim 16,entropy dim 17,entropy dim 18,entropy dim 19,entropy dim 20,entropy dim 21,entropy dim 22,entropy dim 23,entropy dim 24,entropy dim 25,entropy dim 26,entropy dim 27,entropy dim 28,mu dim 1,mu dim 2,mu dim 3,mu dim 4,mu dim 5,mu dim 6,mu dim 7,mu dim 8,mu dim 9,mu dim 10,mu dim 11,mu dim 12,mu dim 13,mu dim 14,mu dim 15,mu dim 16,mu dim 17,mu dim 18,mu dim 19,mu dim 20,mu dim 21,mu dim 22,mu dim 23,mu dim 24,mu dim 25,mu dim 26,mu dim 27,mu dim 28,logvar of mu dim 1,logvar of mu dim 2,logvar of mu dim 3,logvar of mu dim 4,logvar of mu dim 5,logvar of mu dim 6,logvar of mu dim 7,logvar of mu dim 8,logvar of mu dim 9,logvar of mu dim 10,logvar of mu dim 11,logvar of mu dim 12,logvar of mu dim 13,logvar of mu dim 14,logvar of mu dim 15,logvar of mu dim 16,logvar of mu dim 17,logvar of mu dim 18,logvar of mu dim 19,logvar of mu dim 20,logvar of mu dim 21,logvar of mu dim 22,logvar of mu dim 23,logvar of mu dim 24,logvar of mu dim 25,logvar of mu dim 26,logvar of mu dim 27,logvar of mu dim 28,logvar dim 1,logvar dim 2,logvar dim 3,logvar dim 4,logvar dim 5,logvar dim 6,logvar dim 7,logvar dim 8,logvar dim 9,logvar dim 10,logvar dim 11,logvar dim 12,logvar dim 13,logvar dim 14,logvar dim 15,logvar dim 16,logvar dim 17,logvar dim 18,logvar dim 19,logvar dim 20,logvar dim 21,logvar dim 22,logvar dim 23,logvar dim 24,logvar dim 25,logvar dim 26,logvar dim 27,logvar dim 28,perf recon rate,recon rate,perf prefix len,validity,stability,token loss,length
5.54,5.099,5.29,5.442,5.47,5.421,5.436,5.49,5.463,5.447,5.413,5.461,5.41,5.421,5.501,5.358,5.434,5.379,5.526,5.352,5.461,5.43,5.416,5.412,5.528,3.962,5.503,5.428,-0.299,-0.245,0.295,-0.248,0.214,0.344,-0.367,-0.138,-0.116,0.293,0.287,-0.422,0.545,0.315,-0.041,0.393,-0.164,-0.508,0.415,0.366,-0.223,0.266,-0.331,-0.42,0.368,0.032,0.186,0.439,0.167,-1.349,-0.575,-0.172,-0.051,-0.262,-0.273,-0.055,-0.057,-0.307,-0.303,-0.086,-0.187,-0.322,0.141,-0.293,-0.041,-0.339,0.099,-0.347,-0.173,-0.281,-0.323,-0.225,0.087,-3.775,0.015,-0.241,-5.724,-0.797,-2.898,-5.2,-4.914,-4.857,-5.208,-5.281,-5.892,-4.579,-4.902,-5.236,-5.4,-5.124,-5.855,-4.25,-5.55,-5.158,-5.773,-3.649,-4.647,-5.033,-4.388,-4.456,-5.391,-0.193,-5.031,-5.008,0.418,0.264,17.546,0.997,0.331,38.104,30.575
5.505,4.892,5.272,5.464,5.445,5.394,5.425,5.451,5.441,5.374,5.42,5.446,5.443,5.44,5.542,5.447,5.502,5.374,5.539,5.319,5.452,5.399,5.45,5.497,5.527,3.742,5.529,5.349,-0.307,-0.209,0.337,-0.234,0.196,0.378,-0.417,-0.16,-0.139,0.273,0.347,-0.42,0.526,0.407,-0.001,0.47,-0.141,-0.505,0.378,0.275,-0.201,0.297,-0.289,-0.43,0.366,0.005,0.213,0.438,0.178,-1.693,-0.642,-0.147,-0.041,-0.229,-0.211,-0.036,-0.054,-0.268,-0.255,-0.05,-0.167,-0.268,0.146,-0.241,-0.02,-0.293,0.111,-0.467,-0.118,-0.265,-0.256,-0.164,0.091,-4.248,0.041,-0.219,-5.895,-0.463,-2.814,-5.096,-4.89,-4.928,-5.149,-5.098,-5.533,-4.564,-4.818,-5.418,-5.361,-4.973,-5.686,-4.236,-5.266,-4.974,-5.484,-3.498,-4.689,-4.802,-4.466,-4.606,-5.306,-0.043,-4.886,-4.935,0.454,0.259,18.469,0.998,0.358,39.5,30.204
5.523,4.721,5.223,5.465,5.476,5.408,5.425,5.467,5.492,5.426,5.376,5.435,5.426,5.399,5.531,5.394,5.445,5.396,5.513,5.219,5.454,5.417,5.468,5.469,5.49,3.699,5.49,5.421,-0.252,-0.084,0.367,-0.261,0.18,0.342,-0.379,-0.171,-0.057,0.307,0.287,-0.366,0.511,0.383,-0.038,0.328,-0.162,-0.501,0.352,0.308,-0.245,0.252,-0.305,-0.4,0.275,0.012,0.157,0.359,0.146,-2.151,-0.729,-0.127,-0.033,-0.217,-0.209,-0.041,-0.059,-0.298,-0.243,-0.083,-0.178,-0.226,0.123,-0.213,-0.038,-0.295,0.096,-0.53,-0.083,-0.24,-0.265,-0.137,0.086,-4.405,0.021,-0.193,-5.73,-0.206,-3.084,-4.874,-4.892,-4.596,-5.069,-5.208,-5.697,-4.348,-4.72,-4.997,-5.32,-5.065,-5.776,-4.182,-5.227,-5.076,-5.423,-3.093,-4.617,-4.716,-4.27,-4.409,-5.161,0.008,-4.792,-4.535,0.52,0.229,18.888,1.0,0.377,38.936,29.645
5.515,4.55,5.26,5.478,5.459,5.455,5.42,5.461,5.479,5.436,5.376,5.489,5.431,5.477,5.568,5.391,5.469,5.39,5.489,5.201,5.454,5.395,5.391,5.45,5.552,3.67,5.5,5.434,-0.265,-0.13,0.394,-0.246,0.251,0.263,-0.367,-0.115,-0.09,0.319,0.245,-0.288,0.47,0.309,-0.02,0.388,-0.135,-0.461,0.355,0.248,-0.256,0.304,-0.299,-0.35,0.278,0.026,0.206,0.399,0.134,-2.587,-0.757,-0.107,-0.041,-0.188,-0.184,-0.001,-0.063,-0.268,-0.247,-0.077,-0.168,-0.199,0.127,-0.174,-0.032,-0.271,0.102,-0.654,-0.059,-0.248,-0.253,-0.126,0.128,-4.557,0.023,-0.188,-5.677,-0.216,-2.923,-4.86,-4.822,-4.839,-5.016,-5.163,-5.658,-4.435,-4.701,-5.048,-5.275,-5.017,-5.636,-4.082,-5.188,-4.958,-5.534,-2.745,-4.755,-4.811,-4.348,-4.654,-5.179,-0.016,-4.954,-4.565,0.57,0.207,19.386,0.999,0.374,38.908,29.841
5.524,4.369,5.196,5.461,5.468,5.385,5.454,5.511,5.456,5.375,5.424,5.5,5.415,5.474,5.488,5.41,5.462,5.406,5.504,5.112,5.479,5.403,5.454,5.489,5.512,3.588,5.492,5.409,-0.26,0.065,0.284,-0.219,0.162,0.255,-0.366,-0.142,-0.119,0.17,0.254,-0.311,0.475,0.312,-0.062,0.426,-0.145,-0.472,0.294,0.254,-0.282,0.25,-0.269,-0.277,0.273,-0.011,0.244,0.387,0.124,-2.972,-0.757,-0.13,-0.062,-0.198,-0.174,0.014,-0.076,-0.295,-0.238,-0.101,-0.202,-0.193,0.118,-0.185,-0.052,-0.254,0.087,-0.707,-0.099,-0.258,-0.246,-0.101,0.111,-4.725,0.03,-0.196,-5.707,-0.165,-3.017,-5.116,-4.791,-4.509,-4.906,-4.951,-5.582,-4.373,-4.544,-4.93,-5.486,-4.752,-5.768,-4.086,-5.054,-5.006,-5.452,-2.373,-4.672,-4.684,-4.409,-4.608,-5.169,-0.11,-4.826,-4.671,0.602,0.196,19.643,1.0,0.39,39.414,29.574
5.534,4.282,5.232,5.461,5.517,5.398,5.436,5.481,5.521,5.414,5.41,5.455,5.456,5.453,5.524,5.467,5.46,5.415,5.528,5.122,5.445,5.429,5.486,5.453,5.552,3.495,5.49,5.441,-0.246,-0.016,0.324,-0.255,0.166,0.23,-0.368,-0.149,-0.088,0.273,0.238,-0.302,0.456,0.345,-0.026,0.309,-0.149,-0.438,0.328,0.191,-0.182,0.246,-0.35,-0.295,0.262,-0.013,0.173,0.326,0.128,-3.226,-0.704,-0.091,-0.046,-0.196,-0.147,0.024,-0.067,-0.29,-0.235,-0.1,-0.176,-0.141,0.11,-0.159,-0.037,-0.225,0.088,-0.733,-0.056,-0.236,-0.202,-0.07,0.125,-4.92,0.041,-0.153,-5.71,-0.069,-2.896,-4.985,-4.949,-4.457,-4.986,-4.915,-5.604,-4.172,-4.539,-4.985,-5.333,-4.742,-5.76,-3.966,-5.054,-4.875,-5.454,-2.366,-4.611,-4.555,-4.378,-4.59,-5.101,-0.032,-4.78,-4.453,0.656,0.171,19.89,0.999,0.386,39.358,29.648
5.523,4.14,5.273,5.5,5.501,5.428,5.481,5.533,5.446,5.416,5.416,5.448,5.457,5.521,5.512,5.415,5.498,5.411,5.498,5.061,5.504,5.453,5.47,5.507,5.53,3.465,5.504,5.456,-0.254,-0.013,0.241,-0.205,0.112,0.248,-0.35,-0.186,-0.069,0.296,0.193,-0.259,0.472,0.255,-0.026,0.252,-0.117,-0.43,0.311,0.087,-0.182,0.224,-0.284,-0.249,0.302,-0.003,0.184,0.317,0.139,-3.539,-0.679,-0.065,-0.062,-0.181,-0.122,0.027,-0.044,-0.295,-0.226,-0.09,-0.163,-0.128,0.142,-0.181,-0.023,-0.21,0.103,-0.833,-0.046,-0.223,-0.146,-0.052,0.137,-5.0,0.05,-0.163,-5.582,-0.098,-3.12,-4.726,-4.706,-4.44,-4.808,-4.943,-5.489,-4.189,-4.669,-4.894,-5.3,-4.77,-5.583,-4.203,-5.07,-4.889,-5.468,-2.182,-4.601,-4.52,-4.171,-4.565,-5.098,0.002,-4.767,-4.533,0.642,0.174,19.81,1.0,0.388,37.747,29.016
5.605,4.004,5.265,5.436,5.52,5.398,5.45,5.493,5.495,5.415,5.429,5.488,5.441,5.486,5.521,5.429,5.455,5.449,5.486,5.043,5.473,5.437,5.431,5.451,5.531,3.406,5.504,5.427,-0.254,-0.004,0.24,-0.253,0.151,0.324,-0.327,-0.109,-0.064,0.296,0.225,-0.34,0.431,0.323,-0.028,0.332,-0.101,-0.412,0.264,0.07,-0.231,0.246,-0.256,-0.268,0.281,-0.036,0.217,0.333,0.115,-3.827,-0.609,-0.061,-0.043,-0.189,-0.128,0.023,-0.037,-0.309,-0.213,-0.094,-0.165,-0.114,0.141,-0.156,-0.015,-0.179,0.075,-0.806,-0.039,-0.206,-0.153,-0.036,0.154,-5.09,-0.0,-0.137,-5.598,-0.091,-2.797,-4.981,-4.82,-4.399,-4.827,-4.971,-5.612,-4.161,-4.567,-4.945,-5.357,-4.736,-5.65,-4.153,-5.009,-4.931,-5.485,-2.074,-4.711,-4.513,-4.298,-4.482,-5.265,-0.006,-4.769,-4.501,0.664,0.165,19.524,0.999,0.384,38.169,29.591
5.498,3.821,5.257,5.475,5.466,5.395,5.432,5.519,5.488,5.406,5.421,5.482,5.426,5.441,5.517,5.438,5.456,5.425,5.538,5.04,5.486,5.481,5.465,5.487,5.529,3.376,5.478,5.452,-0.239,0.038,0.332,-0.261,0.204,0.216,-0.304,-0.157,-0.066,0.328,0.184,-0.292,0.404,0.251,-0.036,0.371,-0.059,-0.406,0.284,0.105,-0.167,0.203,-0.296,-0.274,0.29,-0.017,0.183,0.291,0.095,-4.155,-0.575,-0.053,-0.059,-0.178,-0.104,0.014,-0.065,-0.293,-0.229,-0.108,-0.17,-0.134,0.123,-0.167,-0.023,-0.172,0.081,-0.854,-0.051,-0.196,-0.155,-0.033,0.136,-5.144,0.013,-0.13,-5.621,-0.064,-2.836,-4.749,-4.889,-4.385,-4.69,-4.87,-5.417,-3.973,-4.552,-4.918,-5.19,-4.673,-5.797,-3.954,-5.028,-4.873,-5.311,-1.887,-4.623,-4.616,-4.354,-4.568,-5.202,-0.049,-4.861,-4.426,0.708,0.143,20.041,1.0,0.379,37.749,29.902
5.561,3.708,5.277,5.525,5.52,5.401,5.4,5.507,5.495,5.426,5.411,5.428,5.434,5.483,5.472,5.431,5.469,5.442,5.531,5.009,5.431,5.462,5.468,5.511,5.512,3.347,5.518,5.469,-0.202,0.027,0.276,-0.216,0.063,0.254,-0.291,-0.13,-0.059,0.341,0.112,-0.292,0.47,0.314,-0.033,0.338,-0.098,-0.406,0.235,0.063,-0.259,0.214,-0.236,-0.245,0.249,0.024,0.215,0.375,0.104,-4.376,-0.513,-0.052,-0.049,-0.15,-0.095,0.071,-0.058,-0.271,-0.194,-0.094,-0.173,-0.111,0.113,-0.127,-0.005,-0.154,0.111,-0.879,-0.048,-0.174,-0.156,-0.016,0.123,-5.169,0.058,-0.097,-5.764,-0.008,-2.725,-4.843,-4.839,-4.261,-4.876,-4.878,-5.526,-3.924,-4.505,-4.869,-5.316,-4.738,-5.657,-3.992,-4.952,-4.842,-5.489,-1.798,-4.701,-4.547,-4.161,-4.429,-5.282,0.021,-4.828,-4.325,0.672,0.172,21.238,0.999,0.382,38.491,29.667
