entropy dim 1,entropy dim 2,entropy dim 3,entropy dim 4,entropy dim 5,entropy dim 6,entropy dim 7,entropy dim 8,entropy dim 9,entropy dim 10,entropy dim 11,entropy dim 12,entropy dim 13,entropy dim 14,entropy dim 15,entropy dim 16,entropy dim 17,entropy dim 18,entropy dim 19,entropy dim 20,entropy dim 21,entropy dim 22,entropy dim 23,entropy dim 24,entropy dim 25,entropy dim 26,entropy dim 27,entropy dim 28,mu dim 1,mu dim 2,mu dim 3,mu dim 4,mu dim 5,mu dim 6,mu dim 7,mu dim 8,mu dim 9,mu dim 10,mu dim 11,mu dim 12,mu dim 13,mu dim 14,mu dim 15,mu dim 16,mu dim 17,mu dim 18,mu dim 19,mu dim 20,mu dim 21,mu dim 22,mu dim 23,mu dim 24,mu dim 25,mu dim 26,mu dim 27,mu dim 28,logvar of mu dim 1,logvar of mu dim 2,logvar of mu dim 3,logvar of mu dim 4,logvar of mu dim 5,logvar of mu dim 6,logvar of mu dim 7,logvar of mu dim 8,logvar of mu dim 9,logvar of mu dim 10,logvar of mu dim 11,logvar of mu dim 12,logvar of mu dim 13,logvar of mu dim 14,logvar of mu dim 15,logvar of mu dim 16,logvar of mu dim 17,logvar of mu dim 18,logvar of mu dim 19,logvar of mu dim 20,logvar of mu dim 21,logvar of mu dim 22,logvar of mu dim 23,logvar of mu dim 24,logvar of mu dim 25,logvar of mu dim 26,logvar of mu dim 27,logvar of mu dim 28,logvar dim 1,logvar dim 2,logvar dim 3,logvar dim 4,logvar dim 5,logvar dim 6,logvar dim 7,logvar dim 8,logvar dim 9,logvar dim 10,logvar dim 11,logvar dim 12,logvar dim 13,logvar dim 14,logvar dim 15,logvar dim 16,logvar dim 17,logvar dim 18,logvar dim 19,logvar dim 20,logvar dim 21,logvar dim 22,logvar dim 23,logvar dim 24,logvar dim 25,logvar dim 26,logvar dim 27,logvar dim 28,perf recon rate,recon rate,perf prefix len,validity,stability,token loss,length
5.425,5.437,5.511,5.373,5.457,5.511,5.219,5.269,5.491,5.405,5.495,5.393,5.494,5.402,5.227,5.407,5.481,5.23,4.759,5.44,5.51,5.479,4.62,5.432,5.478,5.364,5.191,5.438,0.025,-0.066,-0.192,0.009,0.002,0.162,0.163,-0.074,0.154,0.218,-0.004,0.152,0.282,-0.074,0.022,0.147,-0.07,-0.092,0.052,0.056,0.005,-0.192,-0.032,-0.188,0.078,0.043,-0.141,0.001,-0.147,-0.215,0.136,-0.404,0.128,-0.017,-0.427,-0.699,-0.015,-0.235,-0.095,-0.154,-0.163,-0.25,-0.496,-0.092,-0.045,-0.658,-1.086,0.022,0.025,0.05,-1.711,-0.246,0.005,-0.134,-0.66,-0.039,-2.441,-2.707,-3.86,-1.629,-3.782,-2.786,-2.017,-0.818,-3.247,-4.059,-2.79,-3.612,-3.058,-3.937,-0.946,-3.732,-3.753,-0.941,-0.776,-3.596,-3.942,-3.75,-0.441,-2.526,-3.933,-2.19,-1.632,-3.114,0.976,0.987,16.667,0.941,0.785,0.0,35.698
5.439,5.426,5.574,5.334,5.504,5.469,5.237,5.266,5.465,5.421,5.466,5.417,5.473,5.391,5.242,5.445,5.462,5.25,4.81,5.475,5.501,5.443,4.577,5.432,5.477,5.324,5.142,5.484,-0.042,-0.11,-0.192,-0.089,0.058,0.106,0.111,-0.07,0.184,0.219,0.0,0.137,0.237,-0.098,0.154,0.119,-0.004,0.085,0.106,-0.066,0.051,-0.214,0.008,-0.175,0.067,-0.057,-0.106,0.057,-0.189,-0.166,0.122,-0.427,0.133,0.003,-0.437,-0.742,-0.03,-0.254,-0.112,-0.158,-0.183,-0.275,-0.551,-0.108,-0.049,-0.72,-1.069,0.022,0.016,0.027,-1.721,-0.231,-0.028,-0.161,-0.693,-0.052,-2.345,-2.75,-4.045,-1.734,-3.88,-2.924,-2.023,-0.916,-3.288,-4.251,-2.819,-3.597,-3.116,-3.897,-1.049,-3.708,-3.651,-0.963,-0.779,-3.745,-3.922,-3.781,-0.465,-2.565,-4.018,-2.217,-1.605,-3.095,0.966,0.98,15.294,0.955,0.8,0.0,35.318
5.403,5.468,5.492,5.349,5.469,5.476,5.254,5.233,5.444,5.371,5.45,5.459,5.403,5.389,5.274,5.453,5.458,5.254,4.682,5.471,5.534,5.514,4.427,5.426,5.441,5.421,5.175,5.498,-0.074,-0.04,-0.193,-0.032,0.072,0.166,0.127,0.087,0.103,0.207,-0.007,0.183,0.221,-0.103,0.116,0.152,0.044,0.085,-0.011,-0.062,0.046,-0.229,0.009,-0.118,0.056,0.086,-0.041,0.006,-0.202,-0.156,0.162,-0.424,0.14,-0.037,-0.38,-0.782,0.007,-0.225,-0.107,-0.169,-0.158,-0.229,-0.559,-0.11,-0.072,-0.753,-1.116,0.015,0.024,0.063,-1.774,-0.257,0.002,-0.138,-0.659,-0.01,-2.178,-2.744,-3.913,-1.68,-3.658,-2.831,-1.961,-0.696,-3.35,-4.138,-2.537,-3.56,-3.194,-3.808,-0.908,-3.612,-3.653,-0.786,-0.802,-3.751,-3.775,-3.761,-0.382,-2.386,-3.96,-1.835,-1.452,-3.011,0.968,0.981,14.5,0.943,0.797,0.0,35.642
5.402,5.409,5.531,5.343,5.479,5.489,5.229,5.23,5.462,5.388,5.498,5.43,5.454,5.397,5.203,5.479,5.459,5.183,4.711,5.508,5.515,5.543,4.394,5.437,5.445,5.388,5.104,5.467,-0.074,-0.076,-0.158,0.008,0.076,0.169,0.09,0.048,0.131,0.298,-0.06,0.181,0.166,-0.078,0.109,0.195,0.001,0.155,0.011,-0.057,-0.0,-0.231,-0.064,-0.155,0.102,-0.023,-0.044,0.045,-0.22,-0.163,0.144,-0.385,0.088,0.027,-0.44,-0.812,-0.007,-0.261,-0.079,-0.179,-0.195,-0.269,-0.566,-0.134,-0.081,-0.8,-1.088,0.025,0.013,0.061,-1.777,-0.291,-0.034,-0.135,-0.684,-0.013,-2.192,-2.79,-4.236,-1.596,-3.831,-3.056,-2.153,-0.746,-3.277,-4.244,-2.646,-3.718,-3.449,-4.05,-0.785,-3.776,-3.584,-0.682,-0.864,-3.727,-3.93,-3.85,-0.33,-2.413,-4.129,-1.909,-1.737,-3.062,0.982,0.99,15.222,0.952,0.807,0.0,35.567
5.37,5.414,5.537,5.314,5.509,5.514,5.274,5.18,5.488,5.36,5.457,5.454,5.375,5.419,5.224,5.434,5.463,5.18,4.66,5.499,5.482,5.485,4.384,5.378,5.494,5.376,5.151,5.501,-0.061,-0.099,-0.184,-0.098,0.035,0.086,0.105,-0.037,0.099,0.259,0.017,0.172,0.179,-0.042,0.157,0.184,0.003,-0.094,-0.014,-0.082,-0.034,-0.179,-0.02,-0.053,0.024,0.037,-0.029,-0.013,-0.29,-0.127,0.164,-0.451,0.079,0.002,-0.412,-0.901,-0.002,-0.231,-0.116,-0.181,-0.198,-0.235,-0.631,-0.164,-0.066,-0.81,-1.127,0.044,0.03,0.079,-1.873,-0.316,-0.0,-0.18,-0.746,-0.01,-2.059,-2.922,-4.058,-1.483,-3.764,-3.052,-2.044,-0.65,-3.328,-4.19,-2.46,-3.66,-3.288,-3.976,-0.755,-3.785,-3.718,-0.653,-0.876,-3.738,-3.859,-3.769,-0.381,-2.23,-4.032,-1.836,-1.529,-3.103,0.966,0.982,15.765,0.947,0.808,0.0,35.715
5.295,5.377,5.474,5.298,5.469,5.449,5.21,5.112,5.481,5.366,5.415,5.444,5.397,5.397,5.167,5.469,5.426,5.068,4.671,5.512,5.482,5.479,4.323,5.354,5.463,5.44,5.099,5.496,-0.051,-0.045,-0.159,-0.114,0.093,0.228,0.12,-0.155,0.088,0.284,-0.101,0.169,0.214,-0.078,0.08,0.211,0.008,-0.061,-0.047,-0.006,-0.017,-0.18,-0.055,-0.193,0.034,0.049,-0.105,0.019,-0.276,-0.13,0.134,-0.458,0.098,-0.02,-0.449,-0.964,-0.005,-0.282,-0.123,-0.158,-0.175,-0.225,-0.688,-0.161,-0.105,-1.008,-1.092,0.038,-0.001,0.063,-1.843,-0.304,-0.019,-0.184,-0.723,-0.005,-2.037,-2.747,-3.833,-1.511,-3.82,-2.906,-1.968,-0.595,-3.277,-4.238,-2.463,-3.565,-3.082,-3.915,-0.804,-3.749,-3.659,-0.689,-0.763,-3.757,-3.849,-3.76,-0.408,-2.245,-4.06,-1.706,-1.509,-2.946,0.968,0.982,14.5,0.96,0.819,0.0,35.448
5.379,5.424,5.523,5.325,5.446,5.461,5.224,5.087,5.53,5.354,5.459,5.45,5.396,5.417,5.197,5.429,5.443,5.117,4.722,5.498,5.463,5.497,4.321,5.394,5.497,5.417,5.121,5.465,0.043,-0.131,-0.181,-0.07,0.074,0.164,0.169,-0.003,0.16,0.235,-0.024,0.171,0.236,-0.085,0.039,0.187,-0.013,-0.061,0.02,-0.063,-0.043,-0.204,0.038,-0.098,0.008,0.066,-0.055,0.001,-0.304,-0.138,0.13,-0.451,0.073,-0.031,-0.439,-1.009,-0.02,-0.239,-0.121,-0.146,-0.189,-0.236,-0.693,-0.178,-0.076,-0.974,-1.122,0.025,-0.033,0.045,-1.88,-0.324,-0.012,-0.215,-0.765,-0.017,-1.955,-2.692,-4.104,-1.434,-3.901,-2.92,-1.969,-0.541,-3.262,-4.165,-2.462,-3.553,-3.248,-3.969,-0.781,-3.621,-3.422,-0.654,-0.861,-3.705,-3.969,-3.841,-0.319,-2.166,-4.037,-1.594,-1.583,-3.021,0.97,0.982,14.333,0.958,0.818,0.0,35.556
5.373,5.433,5.509,5.305,5.472,5.425,5.23,5.05,5.453,5.377,5.477,5.459,5.422,5.413,5.176,5.464,5.439,5.077,4.687,5.537,5.483,5.56,4.28,5.365,5.496,5.362,5.082,5.479,-0.096,-0.111,-0.166,-0.114,0.094,0.077,0.106,-0.081,0.114,0.231,-0.016,0.134,0.161,-0.089,0.025,0.154,-0.081,0.045,-0.021,-0.027,-0.032,-0.258,-0.048,-0.096,0.029,-0.104,-0.053,0.058,-0.304,-0.14,0.138,-0.51,0.066,-0.013,-0.413,-1.053,-0.019,-0.234,-0.117,-0.128,-0.189,-0.224,-0.705,-0.184,-0.083,-1.03,-1.047,0.061,-0.021,0.047,-1.862,-0.377,-0.002,-0.208,-0.783,-0.041,-1.905,-2.65,-4.026,-1.476,-3.996,-2.86,-1.983,-0.511,-3.267,-4.2,-2.36,-3.653,-3.092,-4.005,-0.691,-3.642,-3.53,-0.51,-0.834,-3.82,-3.783,-3.793,-0.438,-2.063,-4.036,-1.565,-1.553,-2.898,0.968,0.984,16.75,0.961,0.828,0.0,35.47
5.357,5.452,5.547,5.349,5.429,5.478,5.222,5.014,5.478,5.374,5.464,5.428,5.397,5.342,5.185,5.486,5.403,5.109,4.687,5.519,5.513,5.498,4.261,5.354,5.508,5.341,5.12,5.503,-0.095,-0.119,-0.207,-0.09,0.094,0.236,0.163,-0.069,0.062,0.232,0.015,0.169,0.238,-0.103,-0.008,0.137,-0.022,-0.029,0.064,-0.055,-0.059,-0.213,-0.019,-0.149,0.006,-0.028,-0.065,0.069,-0.304,-0.121,0.083,-0.426,0.015,-0.034,-0.514,-1.12,0.003,-0.253,-0.072,-0.129,-0.198,-0.267,-0.75,-0.2,-0.095,-1.01,-1.161,0.059,-0.014,0.057,-1.812,-0.315,-0.023,-0.193,-0.706,-0.02,-1.761,-2.68,-3.86,-1.42,-3.946,-2.873,-1.896,-0.394,-3.21,-4.132,-2.347,-3.528,-3.175,-3.967,-0.67,-3.768,-3.319,-0.531,-0.815,-3.672,-3.785,-3.858,-0.42,-2.062,-4.072,-1.499,-1.516,-2.879,0.976,0.986,16.417,0.96,0.826,0.0,35.753
5.41,5.422,5.497,5.29,5.42,5.49,5.211,5.021,5.435,5.393,5.475,5.467,5.405,5.419,5.149,5.455,5.453,5.061,4.662,5.537,5.461,5.528,4.292,5.358,5.499,5.405,5.077,5.491,-0.001,-0.048,-0.194,-0.044,0.149,0.235,0.149,0.085,0.118,0.238,-0.017,0.219,0.195,-0.076,0.138,0.216,-0.052,0.059,-0.055,-0.039,-0.058,-0.206,-0.019,-0.096,-0.026,-0.068,-0.095,0.055,-0.286,-0.122,0.125,-0.486,0.042,-0.002,-0.443,-1.155,0.011,-0.239,-0.085,-0.138,-0.189,-0.241,-0.745,-0.201,-0.095,-1.07,-1.09,0.055,0.001,0.076,-1.748,-0.361,-0.016,-0.193,-0.753,-0.011,-1.796,-2.796,-3.885,-1.378,-3.922,-3.035,-1.97,-0.493,-3.3,-4.18,-2.337,-3.619,-3.103,-3.928,-0.608,-3.748,-3.534,-0.463,-0.821,-3.738,-3.772,-3.882,-0.411,-2.059,-4.108,-1.551,-1.533,-2.838,0.97,0.981,12.867,0.961,0.83,0.0,35.788
