,0
0,5.98456027309334
1,4.290998205923239
2,6.002693245240689
3,6.048237198884566
4,5.399017672097052
5,5.9324636005315
6,5.942780877218059
7,5.412848354864947
8,4.850403528402148
9,4.89837166582849
10,4.197061474868656
11,6.014795321198018
12,5.908234380285163
13,4.197354501553665
14,6.027332024327125
15,5.988401380632801
16,5.9057915284064535
17,5.779314977729899
18,6.019167496774122
19,5.717475585608139
20,4.61754374165387
21,5.842102274946921
22,4.52797846018879
23,4.116218989758131
24,4.072903126994886
25,5.138835220768239
26,4.824721496036581
27,6.015909873343233
28,4.922628973625784
29,4.909581814555539
30,4.796134588505932
31,4.4057965999637405
32,5.864579952248359
33,5.106995246943625
34,6.007886377759721
35,5.8813664047871335
36,4.400890690970846
37,4.103088486576643
38,6.01673491277332
39,5.989362667518595
40,5.933839604233213
41,6.01459275227413
42,3.8684068632197635
43,4.91896504193156
44,4.3423728763129
45,6.0044624672652915
46,5.205101299783091
47,5.991114258718541
48,5.823796302531818
49,4.485765079352616
50,6.038731342828731
51,6.007022280143865
52,4.52671198540875
53,4.732724705116867
54,6.028585682007959
55,4.16008097145739
56,5.999526234158777
57,5.926970456007498
58,4.591926754178688
59,4.723550420113394
60,5.82116779214975
61,3.917442686568963
62,6.157221124872188
63,5.0656454954090036
64,6.0106148126467644
65,4.2040067344779
66,3.825929731934079
67,5.903489899369893
68,6.025791084906608
69,4.291904681867766
70,5.638780320537706
71,5.766936335643635
72,4.240414807864531
73,6.026765355719665
74,4.590308220070768
75,4.541218481636351
76,4.237895365399176
77,5.996219655431306
78,6.0226234957317075
79,6.046904456164967
80,3.9955347022926038
81,5.9965575774549364
82,6.027533767315023
83,5.932315133056051
84,4.096562277631115
85,4.519752218052675
86,5.748030521856504
87,6.00144200667848
88,5.998249591824143
89,4.444122352890828
90,3.7969396319552216
91,5.995073228321767
92,5.9620953868352675
93,4.3186898307411905
94,5.119419792212629
95,6.024165101695779
96,5.887747230991883
97,4.005345027970927
98,5.923325779693537
99,6.015945855170479
100,4.129288401906837
101,4.322696028097215
102,5.971824557134015
103,4.650490066149821
104,6.024843742739229
105,6.0122376762139815
106,4.751606849550977
107,5.989592904122354
108,4.087353080462304
109,6.045626965568564
110,4.023023580542358
111,6.024740040298347
112,6.013201431064422
113,5.9949609244335225
114,4.749840727127673
115,4.73087012944207
116,6.053423773570984
117,5.154220624783433
118,6.055546138158104
119,4.553295548061902
120,4.319456482598682
121,6.04320151804273
122,4.803618250238792
123,5.932149053588965
124,4.796692419536476
125,5.840946668156059
126,3.7900115389191558
127,4.707196560279266
