,0
0,3.754848817500366
1,3.7600645365051983
2,3.840467401323998
3,3.890242917739907
4,3.925441020644473
5,3.979664555527007
6,4.024454118550448
7,4.081723515734313
8,4.093222154432032
9,4.103238528433436
10,4.11735380309287
11,4.1200728616729
12,4.122595999066789
13,4.128450067545092
14,4.1544146712888566
15,4.167651901157973
16,4.190225175603317
17,4.2239074154516
18,4.235233486743978
19,4.246159762015038
20,4.25642204543145
21,4.262589448835196
22,4.267847757769938
23,4.289807721135026
24,4.293548000698186
25,4.296537599171826
26,4.299666855290994
27,4.2998617588541155
28,4.320135663873078
29,4.321538797929099
30,4.38610736502148
31,4.387378060267624
32,4.405861497749068
33,4.415415886139502
34,4.43418429844774
35,4.448703613113031
36,4.481941000665758
37,4.520961227550941
38,4.523934528712797
39,4.536556263699644
40,4.540004322929914
41,4.545921564167736
42,4.547592541240393
43,4.547922835443399
44,4.555972630826671
45,4.589400717026214
46,4.620167438787474
47,4.647459910121967
48,4.675042434974989
49,4.7044809594904
50,4.732749035682822
51,4.733801165688789
52,4.758798246362108
53,4.822431383127154
54,4.837436546936785
55,4.853163813016311
56,4.85710258458212
57,4.874444197973237
58,4.9293409659198115
59,4.979977944491821
60,4.988125264343648
61,5.025159292295589
62,5.165630934416998
63,5.180562383405823
64,5.250092052110847
65,5.441171881341489
66,5.503261035802752
67,5.5777079060107155
68,5.601146668590995
69,5.619181999059302
70,5.697033294068936
71,5.742844646374932
72,5.752957028539466
73,5.769806756024266
74,5.769852411497435
75,5.781343436856723
76,5.797245366020777
77,5.863703561590741
78,5.868247920391859
79,5.869430277737454
80,5.902092551520667
81,5.903165212992159
82,5.9204204271207175
83,5.94766770367655
84,5.948173292992717
85,5.948215353176021
86,5.954551262275526
87,5.958228092150717
88,5.9669594090786395
89,5.9709707150706475
90,5.9719531193072415
91,5.977580076481768
92,5.9868981466602875
93,5.986915204169633
94,5.988525794216267
95,5.992933164563249
96,5.993303415413257
97,5.995359296998863
98,5.997302058634686
99,5.997977402537981
100,6.008971184254673
101,6.009629221255463
102,6.012627571017056
103,6.0197001261593925
104,6.021369689784537
105,6.021741110534666
106,6.024420441244175
107,6.0311413965716945
108,6.032859475301204
109,6.036233508483296
110,6.04853978024588
111,6.053655171506117
112,6.0566243714796055
113,6.057692270464562
114,6.057777277352353
115,6.058549402650447
116,6.061631580031078
117,6.062078551543437
118,6.0670285531416805
119,6.070803470439905
120,6.081824773553887
121,6.083794887466619
122,6.086416553976774
123,6.088666585958095
124,6.095021513582959
125,6.101840924443996
126,6.108818376557103
127,6.117052019518409
