,0
0,2.6631508958685397
1,2.6969848567176937
2,2.753201143641115
3,2.7760079188932227
4,2.776640684277891
5,2.7806308178898043
6,2.783832860660257
7,2.789382629801416
8,2.7924286674604533
9,2.8036972111872807
10,2.822924466688402
11,2.8367613457343763
12,2.8586750481257384
13,2.8992124580953016
14,2.9096502943201976
15,2.9296763075655834
16,2.9404091376366335
17,2.9431577005257674
18,2.9474518023995273
19,2.947832331945379
20,2.9561866534263217
21,2.964908283948899
22,3.0017443795297596
23,3.0174341267687943
24,3.046855925176959
25,3.0496546211859115
26,3.070759906156811
27,3.08281878898717
28,3.0878457706664
29,3.09060615585896
30,3.100201780729003
31,3.1127590479149214
32,3.11631777066271
33,3.122571348886145
34,3.171192093852361
35,3.1850279076336134
36,3.1947183569116913
37,3.200114025743128
38,3.215632491147206
39,3.2385139787270694
40,3.24071143983882
41,3.2465882966612956
42,3.285357676873649
43,3.3114070234364195
44,3.3167781874845206
45,3.3246024333787707
46,3.331441164648136
47,3.3463009440204363
48,3.3666648825224215
49,3.374856673650797
50,3.3787321774701775
51,3.3790132523765912
52,3.3828979104904313
53,3.4180768929173126
54,3.4270236670620693
55,3.44909979958349
56,3.4569537457431996
57,3.4974964186732937
58,3.5244876634230344
59,3.5878235260224054
60,3.595617807433232
61,3.6301592084515404
62,3.6430968112919206
63,3.6497186578925933
64,3.6694531061975217
65,3.68296441679996
66,3.993513159848931
67,4.0581963817257005
68,4.593692774691859
69,4.753195528604618
70,4.950499111994022
71,5.035495877446954
72,5.317072796041664
73,5.333354176724792
74,5.344605830298478
75,5.358367657577395
76,5.70575390644184
77,5.710837994009643
78,5.718912172408744
79,5.736427105947204
80,5.739736983421936
81,5.769656020252068
82,5.808647904115424
83,5.841153092895818
84,5.865671066414155
85,5.8766837548055015
86,5.9003733597731225
87,5.923396941324069
88,5.929769832283313
89,5.931067309261788
90,5.9340915698079115
91,5.944548454328087
92,5.946969628555584
93,5.947289605323357
94,5.95331232605609
95,5.955783411231822
96,5.965028770166445
97,5.969892128492694
98,5.970390308944015
99,5.971166019433594
100,5.982903292851335
101,5.983263970169081
102,5.983795437795239
103,5.985242201922823
104,5.985415886834498
105,5.986744142402964
106,5.987079922546023
107,5.990960223358307
108,5.991844870368883
109,5.992737579805571
110,5.994470675232237
111,5.994658046976458
112,5.995382917969318
113,5.998276967475622
114,5.998715552511486
115,5.999174258629347
116,6.000305960718197
117,6.001081073965723
118,6.001742436548771
119,6.003466229617076
120,6.006930211981459
121,6.009627760736302
122,6.011094040685185
123,6.013135375908066
124,6.015221260488415
125,6.024759263937007
126,6.025028478125258
127,6.038505673210247
