,0
0,5.651248487710548
1,5.746930484962438
2,5.794002118590495
3,5.841870574089777
4,5.884969877105998
5,5.917029975477372
6,5.956807018954116
7,5.9715281276239285
8,5.979893137928897
9,5.990543446881734
10,5.993103844879473
11,5.995563453970151
12,5.99703141371773
13,5.998291795608562
14,6.000286210947314
15,6.003063371023828
16,6.004396735492696
17,6.0054629287012595
18,6.012005549606304
19,6.012620058000335
20,6.013566068852547
21,6.01465025688695
22,6.015561847794414
23,6.0192137322092405
24,6.022095895785039
25,6.022145980727
26,6.023360754753966
27,6.076388112144899
