,0
0,4.095374363437579
1,4.771383699900392
2,4.9020418641318795
3,4.987485146932803
4,5.0737252870134775
5,5.284240441319809
6,5.330427464118802
7,5.383189191932248
8,5.433478522241616
9,5.461900834539342
10,5.531843646106651
11,5.625872093427194
12,5.64456440152672
13,5.662686010259538
14,5.6683091560240975
15,5.715467420268178
16,5.746593329855218
17,5.757194669239058
18,5.858614465806717
19,5.87196738293466
20,5.916898269970823
21,5.929072020711792
22,5.938576264384946
23,5.942158610433329
24,5.948799523587436
25,5.951681716565767
26,5.956827460969315
27,5.9654535872348315
28,5.976631239171202
29,5.980373598250951
30,5.981383135803407
31,5.985228741051346
32,5.994487792722212
33,5.999281530723654
34,5.999454078092008
35,6.0013613869618485
36,6.001858017041599
37,6.0036024214036185
38,6.0065133037699265
39,6.007323444859633
40,6.0100406150193635
41,6.0109423354103235
42,6.011046456251934
43,6.01545367378336
44,6.015731718019008
45,6.016744125688252
46,6.024305686277768
47,6.034733850105876
