,0
0,5.285247632386761
1,5.377570601859369
2,5.382242571596413
3,5.3824892879221125
4,5.403825581305028
5,5.417323908621045
6,5.4375806647210325
7,5.438220128003659
8,5.439242504697042
9,5.449228577390691
10,5.452191339280514
11,5.458114098314411
12,5.464530970981266
13,5.4708357470200095
14,5.476358089952938
15,5.479336090436668
16,5.479418150853812
17,5.481496214862387
18,5.48601668039864
19,5.500884762907744
20,5.502659252620262
21,5.505084812737985
22,5.505384621342936
23,5.5063112385488235
24,5.506587659445719
25,5.512116842856679
26,5.514715756951109
27,5.516741849937987
28,5.51779604403676
29,5.525876553838707
30,5.527323450942145
31,5.52873060443835
32,5.529518647431139
33,5.532158470074078
34,5.535691920183092
35,5.539449719476733
36,5.544572191300292
37,5.548535931066368
38,5.550365965683634
39,5.5532776023506685
40,5.554280725759723
41,5.555815338178541
42,5.556577155031312
43,5.556623466918
44,5.558324255874615
45,5.564938071957928
46,5.5670819294628
47,5.567494609215354
48,5.574562783049361
49,5.5754823536150075
50,5.577235019897566
51,5.579360630049406
52,5.580631686808774
53,5.581511845369356
54,5.584968982112086
55,5.588245804186274
56,5.591465294678561
57,5.594026783977097
58,5.59605542945899
59,5.599608551521946
60,5.602954465992578
61,5.605242250575036
62,5.610373178962141
63,5.616311815945351
64,5.622789392058793
65,5.624658875819045
66,5.626011856179817
67,5.627781445650946
68,5.6322791390355
69,5.632590629622142
70,5.6332713380822685
71,5.63672052150581
72,5.636806931136832
73,5.637107390158738
74,5.640008771735609
75,5.641075506230375
76,5.644728870055658
77,5.649508872605602
78,5.6502792876974555
79,5.654848680687613
80,5.6549215186569395
81,5.65963304635927
82,5.668966621810047
83,5.669141928619204
84,5.688371822350285
85,5.690832182711583
86,5.69340290984874
87,5.694292421364448
88,5.701128052234024
89,5.703618379981944
90,5.704711207326483
91,5.70704978051879
92,5.7083793693791405
93,5.710268936338752
94,5.7103456338322784
95,5.710451298876089
96,5.7113271204596066
97,5.711837253812527
98,5.712275468864479
99,5.7156930543829825
100,5.716364449138145
101,5.720425659362815
102,5.725252042159531
103,5.729669847270063
104,5.733214942466573
105,5.7454131016675065
106,5.747234630433958
107,5.756972995837009
108,5.759158004837848
109,5.760734235534243
110,5.761474227917793
111,5.76418445436515
112,5.771331381078232
113,5.7739924928128
114,5.774378110816437
115,5.78252965031605
116,5.785077166955169
117,5.797560002217227
118,5.808940989886177
119,5.816790354609556
120,5.833030273236551
121,5.842792059248586
122,5.861309708500658
123,5.874667802755411
124,5.893850900656393
125,5.911163641191746
126,5.921821385519209
127,5.935394638172017
