,0
0,3.0185069278957464
1,3.2405014904128366
2,3.2538483356401544
3,3.3458398004574232
4,3.4199400336550476
5,3.68113164385196
6,3.822211869712154
7,4.983684298428436
8,4.992253374192277
9,5.144639417343205
10,5.207252406923933
11,5.314573890369674
12,5.353242587873623
13,5.474450377383642
14,5.569343100122323
15,5.66520590038236
16,5.749623675268564
17,5.763843675983207
18,5.775414379859189
19,5.7938862388997
20,5.847410040633017
21,5.860570638185649
22,5.861129628812909
23,5.888192809558644
24,5.928227337806078
25,5.933796555274266
26,5.96098209382619
27,5.967721865339726
28,5.967946685555657
29,5.969248764389368
30,5.980498872458158
31,5.986776417565485
32,5.9933907848647605
33,5.995449217169364
34,5.9955827862235775
35,5.998007723911821
36,6.001097351964303
37,6.003020750396236
38,6.00398697616134
39,6.004814244304125
40,6.004863549190031
41,6.006929307406391
42,6.007048531726649
43,6.010579363761606
44,6.010683208439978
45,6.0108828493736635
46,6.011433368821071
47,6.012700578458688
48,6.01445494612434
49,6.0146019799511174
50,6.015254152165401
51,6.015823506426877
52,6.021184780510735
53,6.026811601637273
54,6.043341219229923
