,0
0,3.498706193390292
1,3.661251266712184
2,3.7146878678426614
3,3.7474343664458463
4,3.7567369457474755
5,3.7617209294568044
6,3.7680361977854244
7,3.793917501315759
8,3.834622262317845
9,3.8506893342882416
10,3.855181506014105
11,3.8609330327535307
12,3.8710381271388146
13,3.9150159799432975
14,3.9168876332655915
15,3.928521131413308
16,3.9369675170889145
17,3.960195582488865
18,3.9881114151732033
19,4.0129214017918
20,4.018670377746101
21,4.018762556412342
22,4.0618732077438935
23,4.065535255127904
24,4.066379317266895
25,4.093547947696068
26,4.0979239118840525
27,4.110169518546637
28,4.112086583206257
29,4.117637486129842
30,4.11853739899485
31,4.150317545744421
32,4.158388842085559
33,4.180182918291516
34,4.186066544536366
35,4.204320886983054
36,4.236882451569648
37,4.240474766723009
38,4.241145546905093
39,4.269600850336035
40,4.27500317995564
41,4.29245552772693
42,4.310902162672168
43,4.310988444834345
44,4.346058421643497
45,4.356812682339832
46,4.38480232473093
47,4.3878458025721985
48,4.403934186867195
49,4.4126866062222465
50,4.444289673245797
51,4.457739101009475
52,4.466872227643375
53,4.581642443687285
54,4.616586236792688
55,4.641139002275454
56,4.653931177532339
57,4.660112150774982
58,4.724678786496732
59,4.81148259748525
60,4.81313212777005
61,4.846903683986754
62,4.873890954551527
63,4.9005573417528145
64,4.9436149547188295
65,4.964188248994195
66,5.1380412732581
67,5.2127743843231436
68,5.324710038986696
69,5.443688412232509
70,5.519839957690758
71,5.564731319618952
72,5.578771584811384
73,5.745252876090831
74,5.768783651322128
75,5.797699913013063
76,5.818273860034256
77,5.828256486815945
78,5.848255923078893
79,5.901160776593118
80,5.935501716411018
81,5.942575008548992
82,5.943998090560669
83,5.944477539739429
84,5.951092593082359
85,5.9565576575572665
86,5.957324948967727
87,5.958578374330871
88,5.959471823876928
89,5.9638134596337595
90,5.971139950510216
91,5.971843376920423
92,5.972850181114664
93,5.973391486875011
94,5.980319399441052
95,5.991962281318214
96,5.992567944568857
97,5.994791589471981
98,5.995271430196581
99,5.998938654225698
100,5.999873007915144
101,6.001813088326919
102,6.007453035433299
103,6.00886226757994
104,6.009812023264033
105,6.010173877432609
106,6.0136926002121065
107,6.014511898059927
108,6.017205261446232
109,6.019564987971289
110,6.019794945332562
111,6.02580125102893
112,6.027024913212059
113,6.027822118475216
114,6.02803870641797
115,6.0283538503128895
116,6.028482105238939
117,6.0289899909299915
118,6.029126516332175
119,6.031364311615961
120,6.034530088296876
121,6.034734324110438
122,6.035901495752505
123,6.038135449633431
124,6.040757718189029
125,6.046153704845091
126,6.046381613400115
127,6.060427278643202
